ID,Name ,Municipal_Pop,latitude,longitude
WI0001,Abbotsford Public Library,2276,44.947,-90.32
WI0002,Adams County Library,18036,43.966,-89.822
WI0003,Albertson Memorial Library,2133,42.71,-89.439
WI0004,Algoma Public Library,3126,44.606,-87.439
WI0005,Alma Public Library,781,44.325,-91.918
WI0006,Altoona Public Library,7420,44.806,-91.433
WI0007,Amery Public Library,2903,45.303,-92.366
WI0008,Lettie W. Jensen Public Library,1055,44.454,-89.284
WI0009,Antigo Public Library,20072,45.141,-89.154
WI0010,Appleton Public Library,74598,44.264,-88.407
WI0011,Arcadia Free Public Library,3072,44.252,-91.496
WI0012,Argyle Public Library,846,42.702,-89.866
WI0013,Lester Public Library of Arpin,961,44.54,-90.046
WI0014,Vaughn Public Library,8065,46.589,-90.888
WI0015,Augusta Memorial Public Library,1516,44.68,-91.12